#tail	head	edge_weight
Q5MIZ7	P16104	3.82602e-01
Q5MIZ7	Q9NY27	3.82602e-01
Q5MIZ7	Q53ET0	7.50000e-01
Q5MIZ7	P60510	7.50000e-01
Q5MIZ7	Q99689	6.09872e-01
P30613	P10275	5.06777e-01
Q5H9L4	P20226	3.82602e-01
Q9NQ76	P16333	7.50000e-01
Q9NQ76	P27986	7.50000e-01
Q9NQ76	P62993	7.50000e-01
Q9NQ76	P00519	7.50000e-01
Q9NQ76	P19174	7.50000e-01
Q9NQ76	P12931	7.50000e-01
Q9NQ76	P46108	7.50000e-01
Q9NQ76	P06241	7.50000e-01
Q9NVL1	P21673	6.09872e-01
P20930	Q8IY92	5.06777e-01
P20930	P40337	2.97122e-01
P20933	P02768	2.97122e-01
P20936	O60496	7.50000e-01
P20936	P08069	4.93187e-01
P20936	P49023	3.82602e-01
P20936	Q07890	3.82602e-01
P20936	P08631	3.82602e-01
P20936	P29622	1.99474e-01
P20936	Q8NAF0	1.99474e-01
P20936	O14543	7.50000e-01
P20936	P21860	7.50000e-01
P20936	Q96QB1	7.50000e-01
P20936	P10301	7.50000e-01
P20936	P07948	7.50000e-01
P20936	Q15303	7.50000e-01
P20936	P41567	1.99474e-01
P20936	O15524	5.06777e-01
P20936	P62993	3.82602e-01
P20936	P07332	3.82602e-01
P20936	Q9UM73	3.82602e-01
P20936	P08133	3.82602e-01
P20936	O43924	3.82602e-01
P20936	Q8TAM1	1.99474e-01
P20936	P43403	7.50000e-01
P20936	P51636	7.50000e-01
P20936	P06213	4.93187e-01
P20936	P17844	3.82602e-01
P20936	Q96EY1	3.82602e-01
P20936	Q14289	3.82602e-01
P20936	O14965	7.50000e-01
P20936	Q15910	1.99474e-01
P20936	Q07666	7.50000e-01
P20936	P00533	7.50000e-01
P20936	Q92574	6.09872e-01
P20936	Q07960	3.82602e-01
P20936	P19174	4.93187e-01
P20936	P09619	7.50000e-01
P20936	Q02833	3.82602e-01
P20936	P12931	3.82602e-01
P20936	P12956	1.99474e-01
P20936	P04632	7.50000e-01
P20936	Q07889	3.82602e-01
P20936	Q03135	4.93187e-01
P20936	O14807	7.50000e-01
P20936	Q8IZ69	1.99474e-01
P20936	Q13480	6.29649e-01
P20936	P10721	7.50000e-01
P20936	Q99704	7.50000e-01
P20936	P27986	3.82602e-01
P20936	P62070	7.50000e-01
P20936	P63244	7.50000e-01
P20936	P04626	7.50000e-01
P20936	P42858	7.50000e-01
P20936	P06127	4.93187e-01
P20936	P01112	7.50000e-01
P20936	P01111	7.50000e-01
P20936	P01116	7.50000e-01
P20936	P16333	3.82602e-01
P20936	Q8IZP0	2.68664e-01
P20936	P06241	3.82602e-01
Q8NFX7	P60880	3.82602e-01
Q8NFX7	Q12846	3.82602e-01
Q8TBF2	O14788	1.99474e-01
Q8TBF2	O15530	1.99474e-01
Q15573	P20226	7.50000e-01
Q15573	Q01105	7.50000e-01
Q15573	Q53T94	7.50000e-01
Q15573	P04637	3.82602e-01
Q15573	Q15572	3.82602e-01
Q15572	Q01105	7.50000e-01
Q15572	Q9Y2S0	3.82602e-01
Q15572	O15160	3.82602e-01
Q15572	Q53T94	7.50000e-01
Q15572	Q92890	1.99474e-01
Q15572	P04183	1.99474e-01
Q15572	Q15573	3.82602e-01
Q15572	Q9NYV6	3.82602e-01
